id,name,label
Compound::DB00035,Desmopressin,Compound
Compound::DB00014,Goserelin,Compound
Compound::DB00050,Cetrorelix,Compound
Compound::DB00091,Cyclosporine,Compound
Compound::DB00093,Felypressin,Compound
Compound::DB00104,Octreotide,Compound
Compound::DB00115,Cyanocobalamin,Compound
Compound::DB00116,Tetrahydrofolic acid,Compound
Compound::DB00117,L-Histidine,Compound
Compound::DB00118,S-Adenosylmethionine,Compound
Compound::DB00119,Pyruvic acid,Compound
Compound::DB00120,L-Phenylalanine,Compound
Compound::DB00121,Biotin,Compound
Compound::DB00122,Choline,Compound
Compound::DB00123,L-Lysine,Compound
Compound::DB00125,L-Arginine,Compound
Compound::DB00126,Vitamin C,Compound
Compound::DB00127,Spermine,Compound
Compound::DB00128,L-Aspartic Acid,Compound
Compound::DB00129,L-Ornithine,Compound
Compound::DB00130,L-Glutamine,Compound
Compound::DB00131,Adenosine monophosphate,Compound
Compound::DB00132,Alpha-Linolenic Acid,Compound
Compound::DB00133,L-Serine,Compound
Compound::DB00134,L-Methionine,Compound
Compound::DB00135,L-Tyrosine,Compound
Compound::DB00136,Calcitriol,Compound
Compound::DB00137,Xanthophyll,Compound
Compound::DB00138,L-Cystine,Compound
Compound::DB00139,Succinic acid,Compound
Compound::DB00140,Riboflavin,Compound
Compound::DB00141,N-Acetyl-D-glucosamine,Compound
Compound::DB00143,Glutathione,Compound
Compound::DB00144,Phosphatidylserine,Compound
Compound::DB00145,Glycine,Compound
Compound::DB00146,Calcidiol,Compound
Compound::DB00147,Pyridoxal,Compound
Compound::DB00148,Creatine,Compound
Compound::DB00149,L-Leucine,Compound
Compound::DB00150,L-Tryptophan,Compound
Compound::DB00151,L-Cysteine,Compound
Compound::DB00152,Thiamine,Compound
Compound::DB00153,Ergocalciferol,Compound
Compound::DB00154,Dihomo-gamma-linolenic acid,Compound
Compound::DB00155,L-Citrulline,Compound
Compound::DB00156,L-Threonine,Compound
Compound::DB00158,Folic Acid,Compound
Compound::DB00159,Icosapent,Compound
Compound::DB00160,L-Alanine,Compound
Compound::DB00161,L-Valine,Compound
Compound::DB00162,Vitamin A,Compound
Compound::DB00163,Vitamin E,Compound
Compound::DB00165,Pyridoxine,Compound
Compound::DB00166,Lipoic Acid,Compound
Compound::DB00167,L-Isoleucine,Compound
Compound::DB00168,Aspartame,Compound
Compound::DB00169,Cholecalciferol,Compound
Compound::DB00170,Menadione,Compound
Compound::DB00171,Adenosine triphosphate,Compound
Compound::DB00172,L-Proline,Compound
Compound::DB00173,Adenine,Compound
Compound::DB00174,L-Asparagine,Compound
Compound::DB00175,Pravastatin,Compound
Compound::DB00176,Fluvoxamine,Compound
Compound::DB00177,Valsartan,Compound
Compound::DB00178,Ramipril,Compound
Compound::DB00179,Masoprocol,Compound
Compound::DB00180,Flunisolide,Compound
Compound::DB00181,Baclofen,Compound
Compound::DB00182,Amphetamine,Compound
Compound::DB00183,Pentagastrin,Compound
Compound::DB00184,Nicotine,Compound
Compound::DB00185,Cevimeline,Compound
Compound::DB00186,Lorazepam,Compound
Compound::DB00187,Esmolol,Compound
Compound::DB00188,Bortezomib,Compound
Compound::DB00189,Ethchlorvynol,Compound
Compound::DB00190,Carbidopa,Compound
Compound::DB00191,Phentermine,Compound
Compound::DB00192,Indecainide,Compound
Compound::DB00193,Tramadol,Compound
Compound::DB00194,Vidarabine,Compound
Compound::DB00195,Betaxolol,Compound
Compound::DB00196,Fluconazole,Compound
Compound::DB00198,Oseltamivir,Compound
Compound::DB00199,Erythromycin,Compound
Compound::DB00200,Hydroxocobalamin,Compound
Compound::DB00201,Caffeine,Compound
Compound::DB00202,Succinylcholine,Compound
Compound::DB00203,Sildenafil,Compound
Compound::DB00204,Dofetilide,Compound
Compound::DB00205,Pyrimethamine,Compound
Compound::DB00206,Reserpine,Compound
Compound::DB00207,Azithromycin,Compound
Compound::DB00208,Ticlopidine,Compound
Compound::DB00209,Trospium,Compound
Compound::DB00210,Adapalene,Compound
Compound::DB00211,Midodrine,Compound
Compound::DB00212,Remikiren,Compound
Compound::DB00213,Pantoprazole,Compound
Compound::DB00214,Torasemide,Compound
Compound::DB00215,Citalopram,Compound
Compound::DB00216,Eletriptan,Compound
Compound::DB00217,Bethanidine,Compound
Compound::DB00218,Moxifloxacin,Compound
Compound::DB00219,Oxyphenonium,Compound
Compound::DB00220,Nelfinavir,Compound
Compound::DB00221,Isoetarine,Compound
Compound::DB00222,Glimepiride,Compound
Compound::DB00223,Diflorasone,Compound
Compound::DB00224,Indinavir,Compound
Compound::DB00225,Gadodiamide,Compound
Compound::DB00226,Guanadrel,Compound
Compound::DB00227,Lovastatin,Compound
Compound::DB00228,Enflurane,Compound
Compound::DB00229,Cefotiam,Compound
Compound::DB00230,Pregabalin,Compound
Compound::DB00231,Temazepam,Compound
Compound::DB00232,Methyclothiazide,Compound
Compound::DB00233,Aminosalicylic Acid,Compound
Compound::DB00234,Reboxetine,Compound
Compound::DB00235,Milrinone,Compound
Compound::DB00237,Butabarbital,Compound
Compound::DB00238,Nevirapine,Compound
Compound::DB00239,Oxiconazole,Compound
Compound::DB00240,Alclometasone,Compound
Compound::DB00241,Butalbital,Compound
Compound::DB00242,Cladribine,Compound
Compound::DB00243,Ranolazine,Compound
Compound::DB00244,Mesalazine,Compound
Compound::DB00245,Benzatropine,Compound
Compound::DB00246,Ziprasidone,Compound
Compound::DB00247,Methysergide,Compound
Compound::DB00248,Cabergoline,Compound
Compound::DB00249,Idoxuridine,Compound
Compound::DB00250,Dapsone,Compound
Compound::DB00251,Terconazole,Compound
Compound::DB00252,Phenytoin,Compound
Compound::DB00253,Medrysone,Compound
Compound::DB00254,Doxycycline,Compound
Compound::DB00255,Diethylstilbestrol,Compound
Compound::DB00256,Lymecycline,Compound
Compound::DB00257,Clotrimazole,Compound
Compound::DB00258,Calcium Acetate,Compound
Compound::DB00259,Sulfanilamide,Compound
Compound::DB00260,Cycloserine,Compound
Compound::DB00261,Anagrelide,Compound
Compound::DB00262,Carmustine,Compound
Compound::DB00263,Sulfisoxazole,Compound
Compound::DB00264,Metoprolol,Compound
Compound::DB00265,Crotamiton,Compound
Compound::DB00266,Dicoumarol,Compound
Compound::DB00267,Cefmenoxime,Compound
Compound::DB00268,Ropinirole,Compound
Compound::DB00270,Isradipine,Compound
Compound::DB00271,Diatrizoate,Compound
Compound::DB00272,Betazole,Compound
Compound::DB00273,Topiramate,Compound
Compound::DB00274,Cefmetazole,Compound
Compound::DB00275,Olmesartan,Compound
Compound::DB00276,Amsacrine,Compound
Compound::DB00277,Theophylline,Compound
Compound::DB00278,Argatroban,Compound
Compound::DB00279,Liothyronine,Compound
Compound::DB00280,Disopyramide,Compound
Compound::DB00281,Lidocaine,Compound
Compound::DB00282,Pamidronate,Compound
Compound::DB00283,Clemastine,Compound
Compound::DB00284,Acarbose,Compound
Compound::DB00285,Venlafaxine,Compound
Compound::DB00286,Conjugated Estrogens,Compound
Compound::DB00287,Travoprost,Compound
Compound::DB00288,Amcinonide,Compound
Compound::DB00289,Atomoxetine,Compound
Compound::DB00290,Bleomycin,Compound
Compound::DB00291,Chlorambucil,Compound
Compound::DB00292,Etomidate,Compound
Compound::DB00293,Raltitrexed,Compound
Compound::DB00294,Etonogestrel,Compound
Compound::DB00295,Morphine,Compound
Compound::DB00296,Ropivacaine,Compound
Compound::DB00297,Bupivacaine,Compound
Compound::DB00298,Dapiprazole,Compound
Compound::DB00299,Penciclovir,Compound
Compound::DB00300,Tenofovir,Compound
Compound::DB00301,Flucloxacillin,Compound
Compound::DB00302,Tranexamic Acid,Compound
Compound::DB00303,Ertapenem,Compound
Compound::DB00304,Desogestrel,Compound
Compound::DB00305,Mitomycin,Compound
Compound::DB00306,Talbutal,Compound
Compound::DB00307,Bexarotene,Compound
Compound::DB00308,Ibutilide,Compound
Compound::DB00309,Vindesine,Compound
Compound::DB00310,Chlorthalidone,Compound
Compound::DB00312,Pentobarbital,Compound
Compound::DB00313,Valproic Acid,Compound
Compound::DB00314,Capreomycin,Compound
Compound::DB00315,Zolmitriptan,Compound
Compound::DB00316,Acetaminophen,Compound
Compound::DB00317,Gefitinib,Compound
Compound::DB00318,Codeine,Compound
Compound::DB00319,Piperacillin,Compound
Compound::DB00320,Dihydroergotamine,Compound
Compound::DB00321,Amitriptyline,Compound
Compound::DB00322,Floxuridine,Compound
Compound::DB00323,Tolcapone,Compound
Compound::DB00324,Fluorometholone,Compound
