연번,역명,평일(일평균),토요일,일요일
1,신도림,269275,229757,165107
2,동대문역사문화공원,226341,193636,144058
3,고속터미널,186833,161327,116415
4,왕십리,177260,138662,98515
5,서울역,163998,156550,117615
6,사당,160880,138295,97565
7,종로3가,153242,147402,101038
8,충무로,141817,122893,86220
9,교대,138032,98593,65561
10,잠실,122968,82219,58534
11,군자,108859,82794,61598
12,건대입구,107894,97516,70321
13,천호,99308,70807,52080
14,공덕,98762,72096,51489
15,선릉,93818,58667,38518
16,합정,93350,78203,56682
17,가산디지털단지,86750,53885,41722
18,영등포구청,83753,59978,42476
19,홍대입구,81246,80497,59561
20,창동,76805,63713,49715
21,대림,75104,55066,40388
22,복정,72512,49116,36437
23,을지로3가,71904,61503,43614
24,당산,71174,54482,41006
25,총신대입구,69887,60619,42547
26,강남,63983,43966,29043
27,온수,60716,47259,34884
28,여의도,60639,44848,31121
29,강남구청,58051,37206,24438
30,약수,57363,45326,31710
31,동대문,54161,52147,39298
32,시청,52933,46583,33481
33,삼각지,52601,51098,35217
34,김포공항,51947,38635,29017
35,동묘앞,51161,47054,36945
36,태릉입구,50691,35358,26375
37,논현,50289,32223,20035
38,신길,49095,39846,28206
39,석촌,48795,34084,25528
40,상봉,48746,42909,32825
41,동작,46912,39178,27258
42,신당,45333,35954,26377
43,신사,44743,35444,22443
44,도봉산,44646,36870,28324
45,가락시장,40950,27871,21275
46,디지털미디어시티,40871,32972,24538
47,신설동,39085,32527,26766
48,노원,38211,30617,21602
49,청구,38049,30470,22899
50,까치산,35923,24153,18128
51,연신내,35712,28117,20752
52,종합운동장,35176,28738,22973
53,신림,34598,24899,19009
54,도곡,33524,22707,15300
55,오금,31880,21201,16185
56,옥수,29644,24490,17005
57,이촌,28072,27875,20737
58,성수,26764,20003,16129
59,성신여대입구,26120,22368,18324
60,청량리,25267,28421,23647
61,을지로4가,25211,17533,12665
62,올림픽공원(한국체대),25071,20041,16812
63,석계,24978,18817,14790
64,불광,23803,18850,14355
65,보라매,22305,11981,9055
66,수서,21747,16999,11882
67,양재,21635,15807,10258
68,모란,20898,15749,11707
69,보문,20203,13110,10221
70,충정로,20078,11508,8253
71,신내,9661,7534,5933
72,효창공원앞,8367,7422,5360
73,강동,6466,4388,3590
