from_iata,to_iata,km,hours,airlines
AAN,CCJ,2597,4.25,1
AAN,PEW,1882,3.35,1
AAT,URC,430,1.54,2
AAY,SAH,855,2.07,1
ABA,IKT,884,2.1,1
ABA,NSK,1744,3.18,1
ABD,MHD,1244,2.55,2
ABD,SYZ,430,1.54,1
ABD,THR,657,1.82,3
ABT,DMM,1079,2.35,1
ABT,JED,300,1.38,1
ABT,RUH,734,1.92,1
ACX,CAN,866,2.08,1
ACX,CKG,541,1.68,1
ACX,KWE,245,1.31,1
ACX,NAY,1951,3.44,2
ACX,PVG,1782,3.23,1
ACZ,MHD,598,1.75,1
ADE,AHB,653,1.82,1
ADE,AMM,2295,3.87,2
ADE,AUH,1639,3.05,1
ADE,BOM,3053,4.82,1
ADE,DMM,1596,3.0,2
ADE,DXB,1756,3.19,2
ADE,GXF,534,1.67,1
ADE,JED,1165,2.46,2
ADE,RIY,512,1.64,1
ADE,RUH,1360,2.7,1
ADE,SAH,307,1.38,2
ADE,SHJ,1772,3.21,1
ADU,MHD,1019,2.27,1
ADU,THR,390,1.49,2
AEB,CAN,647,1.81,1
AEB,CKG,668,1.83,1
AEB,KWL,353,1.44,1
AFZ,THR,568,1.71,1
AGR,BOM,1037,2.3,1
AGR,HJR,325,1.41,1
AGX,COK,468,1.58,1
AHB,ADE,653,1.82,1
AHB,DMM,1173,2.47,1
AHB,DXB,1525,2.91,1
AHB,JED,529,1.66,2
AHB,MED,766,1.96,1
AHB,RUH,856,2.07,2
AHB,SAH,349,1.44,1
AHB,SHJ,1543,2.93,1
AHB,TIF,423,1.53,1
AHB,TUU,1283,2.6,1
AJF,JED,906,2.13,1
AJF,RUH,844,2.05,1
AJL,CCU,446,1.56,3
AJL,GAU,273,1.34,2
AJL,IMF,165,1.21,1
AKJ,HND,931,2.16,3
AKJ,NGO,1093,2.37,1
AKJ,TPE,2823,4.53,3
AKU,CTU,2427,4.03,2
AKU,URC,657,1.82,4
AKX,ALA,1686,3.11,2
AKX,SCO,847,2.06,1
AKX,TSE,1008,2.26,2
AKY,RGN,497,1.62,2
AKY,SNW,239,1.3,1
ALA,AKX,1686,3.11,2
ALA,AUH,2930,4.66,2
ALA,BKK,4000,6.0,1
ALA,CIT,626,1.78,2
ALA,DEL,1644,3.06,1
ALA,DMB,469,1.59,1
ALA,DYU,872,2.09,3
ALA,DZN,871,2.09,1
ALA,FRU,210,1.26,2
ALA,GUW,2009,3.51,2
ALA,GYD,2247,3.81,1
ALA,HKG,4113,6.14,1
ALA,ICN,4172,6.21,2
ALA,IKA,2381,3.98,1
ALA,KGF,757,1.95,2
ALA,KOV,1237,2.55,1
ALA,KSN,1478,2.85,1
ALA,KUL,5130,7.41,1
ALA,KZO,927,2.16,1
