iata,name,city,country,lat,lon
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.2617,55.6092
AAT,Altay Air Base,Altay,China,47.7499,88.0858
AAY,Al Ghaidah International Airport,Al Ghaidah Intl,Yemen,16.1917,52.175
ABA,Abakan Airport,Abakan,Russia,53.74,91.385
ABD,Abadan Airport,Abadan,Iran,30.3711,48.2283
ABT,Al Baha Airport,El-baha,Saudi Arabia,20.2961,41.6343
ACX,Xingyi Airport,Xingyi,China,25.0864,104.9594
ACZ,Zabol Airport,Zabol,Iran,31.0983,61.5439
ADE,Aden International Airport,Aden,Yemen,12.8295,45.0288
ADU,Ardabil Airport,Ardabil,Iran,38.3257,48.4244
AEB,Baise Youjiang Airport,Baise,China,23.7206,106.96
AFZ,Sabzevar National Airport,Sabzevar,Iran,36.1681,57.5952
AGR,Agra Airport,Agra,India,27.1558,77.9609
AGX,Agatti Airport,Agatti Island,India,10.8237,72.176
AHB,Abha Regional Airport,Abha,Saudi Arabia,18.2404,42.6566
AJF,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,29.7851,40.1
AJL,Lengpui Airport,Aizwal,India,23.8406,92.6197
AKJ,Asahikawa Airport,Asahikawa,Japan,43.6708,142.447
AKU,Aksu Airport,Aksu,China,41.2625,80.2917
AKX,Aktobe Airport,Aktyubinsk,Kazakhstan,50.2458,57.2067
AKY,Sittwe Airport,Sittwe,Burma,20.1327,92.8726
ALA,Almaty Airport,Alma-ata,Kazakhstan,43.3521,77.0405
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0772,72.6347
AMM,Queen Alia International Airport,Amman,Jordan,31.7226,35.9932
AMQ,"Pattimura Airport, Ambon",Ambon,Indonesia,-3.7103,128.089
AOG,Anshan Air Base,Anshan,China,41.1053,122.854
AOJ,Aomori Airport,Aomori,Japan,40.7347,140.691
AOR,Sultan Abdul Halim Airport,Alor Setar,Malaysia,6.1897,100.398
AQG,Anqing Tianzhushan Airport,Anqing,China,30.5822,117.05
AQI,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,28.3352,46.1251
AQJ,Aqaba King Hussein International Airport,Aqaba,Jordan,29.6116,35.0181
ASB,Ashgabat International Airport,Ashkhabad,Turkmenistan,37.9868,58.361
ASJ,Amami Airport,Amami,Japan,28.4306,129.713
ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,India,31.7096,74.7973
