iata,name,city,country,lat,lon
ABD,Abadan Airport,Abadan,Iran,30.3711,48.2283
ABS,Abu Simbel Airport,Abu Simbel,Egypt,22.376,31.6117
ABT,Al Baha Airport,El-baha,Saudi Arabia,20.2961,41.6343
ACZ,Zabol Airport,Zabol,Iran,31.0983,61.5439
ADA,Adana Airport,Adana,Turkey,36.9822,35.2804
ADB,Adnan Menderes International Airport,Izmir,Turkey,38.2924,27.157
ADF,Adıyaman Airport,Adiyaman,Turkey,37.7314,38.4689
ADU,Ardabil Airport,Ardabil,Iran,38.3257,48.4244
AFZ,Sabzevar National Airport,Sabzevar,Iran,36.1681,57.5952
AHB,Abha Regional Airport,Abha,Saudi Arabia,18.2404,42.6566
AJF,Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,29.7851,40.1
AJI,Ağrı Airport,Agri,Turkey,39.6545,43.026
AMM,Queen Alia International Airport,Amman,Jordan,31.7226,35.9932
AQI,Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,28.3352,46.1251
AQJ,Aqaba King Hussein International Airport,Aqaba,Jordan,29.6116,35.0181
ASR,Kayseri Erkilet Airport,Kayseri,Turkey,38.7704,35.4954
ASW,Aswan International Airport,Aswan,Egypt,23.9644,32.82
ATZ,Assiut International Airport,Asyut,Egypt,27.0465,31.012
AUH,Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,24.433,54.6511
AWZ,Ahwaz Airport,Ahwaz,Iran,31.3374,48.762
AYT,Antalya International Airport,Antalya,Turkey,36.8987,30.8005
AZD,Shahid Sadooghi Airport,Yazd,Iran,31.9049,54.2765
AZI,Bateen Airport,Abu Dhabi,United Arab Emirates,24.4283,54.4581
BAH,Bahrain International Airport,Bahrain,Bahrain,26.2708,50.6336
BAL,Batman Airport,Batman,Turkey,37.929,41.1166
BDH,Bandar Lengeh Airport,Bandar Lengeh,Iran,26.532,54.8248
BGG,Bingöl Çeltiksuyu Airport,Bingol,Turkey,38.8593,40.596
BHH,Bisha Airport,Bisha,Saudi Arabia,19.9844,42.6209
BJB,Bojnord Airport,Bojnourd,Iran,37.493,57.3082
BJV,Milas Bodrum International Airport,Bodrum,Turkey,37.2506,27.6643
BND,Bandar Abbas International Airport,Bandar Abbas,Iran,27.2183,56.3778
BUZ,Bushehr Airport,Bushehr,Iran,28.9448,50.8346
BXR,Bam Airport,Bam,Iran,29.0842,58.45
CAI,Cairo International Airport,Cairo,Egypt,30.1219,31.4056
CKZ,Çanakkale Airport,Canakkale,Turkey,40.1377,26.4268
DIY,Diyarbakir Airport,Diyabakir,Turkey,37.8939,40.201
DLM,Dalaman International Airport,Dalaman,Turkey,36.7131,28.7925
DMM,King Fahd International Airport,Dammam,Saudi Arabia,26.4712,49.7979
DNZ,Çardak Airport,Denizli,Turkey,37.7856,29.7013
DOH,Hamad International Airport,Doha,Qatar,25.2731,51.6081
DWC,Al Maktoum International Airport,Dubai,United Arab Emirates,24.8964,55.1614
DXB,Dubai International Airport,Dubai,United Arab Emirates,25.2528,55.3644
EAM,Nejran Airport,Nejran,Saudi Arabia,17.6114,44.4192
EDO,Balıkesir Körfez Airport,Balikesir Korfez,Turkey,39.5546,27.0138
EJH,Al Wajh Domestic Airport,Wejh,Saudi Arabia,26.1986,36.4764
ELQ,Gassim Airport,Gassim,Saudi Arabia,26.3028,43.7744
ERC,Erzincan Airport,Erzincan,Turkey,39.7102,39.527
ERZ,Erzurum International Airport,Erzurum,Turkey,39.9565,41.1702
ESB,Esenboğa International Airport,Ankara,Turkey,40.1281,32.9951
ETH,Eilat Airport,Elat,Israel,29.5613,34.9601
EZS,Elazığ Airport,Elazig,Turkey,38.6069,39.2914
FJR,Fujairah International Airport,Fujeirah,United Arab Emirates,25.1122,56.324
GBT,Gorgan Airport,Gorgan,Iran,36.9094,54.4013
GIZ,Jizan Regional Airport,Gizan,Saudi Arabia,16.9011,42.5858
GNY,Şanlıurfa GAP Airport,Sanliurfa,Turkey,37.4457,38.8956
GZP,Gazipaşa Airport,Alanya,Turkey,36.2992,32.3006
GZT,Gaziantep International Airport,Gaziantep,Turkey,36.9472,37.4787
HAS,Ha'il Airport,Hail,Saudi Arabia,27.4379,41.6863
HBE,Borg El Arab International Airport,Alexandria,Egypt,30.9177,29.6964
HDM,Hamadan Airport,Hamadan,Iran,34.8692,48.5525
HFA,Haifa International Airport,Haifa,Israel,32.8094,35.0431
HMB,Sohag International Airport,Sohag,Egypt,26.3428,31.7428
HOF,Al Ahsa Airport,Al-ahsa,Saudi Arabia,25.2853,49.4852
HRG,Hurghada International Airport,Hurghada,Egypt,27.1783,33.7994
HTY,Hatay Airport,Hatay,Turkey,36.3628,36.2822
IFN,Esfahan Shahid Beheshti International Airport,Esfahan,Iran,32.7508,51.8613
IGD,Iğdır Airport,Igdir,Turkey,39.9766,43.8766
IIL,Ilam Airport,Ilam,Iran,33.5866,46.4048
IKA,Imam Khomeini International Airport,Tehran,Iran,35.4161,51.1522
ISE,Süleyman Demirel International Airport,Isparta,Turkey,37.8554,30.3684
ISL,Atatürk International Airport,Istanbul,Turkey,40.9769,28.8146
JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,21.6796,39.1565
KCM,Kahramanmaraş Airport,Kahramanmaras,Turkey,37.5388,36.9535
KER,Kerman Airport,Kerman,Iran,30.2744,56.9511
KFS,Kastamonu Airport,Kastamonu,Turkey,41.3142,33.7958
KHD,Khoram Abad Airport,Khorram Abad,Iran,33.4354,48.2829
KHS,Khasab Air Base,Khasab,Oman,26.171,56.2406
KIH,Kish International Airport,Kish Island,Iran,26.5262,53.9802
KSH,Shahid Ashrafi Esfahani Airport,Bakhtaran,Iran,34.3459,47.1581
KSY,Kars Airport,Kars,Turkey,40.5622,43.115
KWI,Kuwait International Airport,Kuwait,Kuwait,29.2266,47.9689
KYA,Konya Airport,Konya,Turkey,37.979,32.5619
KZR,Zafer Airport,Kutahya,Turkey,39.1131,30.1281
LRR,Lar Airport,Lar,Iran,27.6747,54.3833
LXR,Luxor International Airport,Luxor,Egypt,25.671,32.7066
MCT,Muscat International Airport,Muscat,Oman,23.5933,58.2844
MED,Prince Mohammad Bin Abdulaziz Airport,Madinah,Saudi Arabia,24.5534,39.7051
