source,rel,target
Compound::DB01069,RESEMBLES_CC,Compound::DB00777
Compound::DB01103,RESEMBLES_CC,Compound::DB00613
Compound::DB01231,RESEMBLES_CC,Compound::DB00209
Compound::DB01327,RESEMBLES_CC,Compound::DB01112
Compound::DB00257,RESEMBLES_CC,Compound::DB04794
Compound::DB00432,RESEMBLES_CC,Compound::DB01262
Compound::DB01299,RESEMBLES_CC,Compound::DB05245
Compound::DB00690,RESEMBLES_CC,Compound::DB01589
Compound::DB00741,RESEMBLES_CC,Compound::DB00603
Compound::DB01489,RESEMBLES_CC,Compound::DB01594
Compound::DB00567,RESEMBLES_CC,Compound::DB00430
Compound::DB01594,RESEMBLES_CC,Compound::DB00186
Compound::DB00635,RESEMBLES_CC,Compound::DB01222
Compound::DB00408,RESEMBLES_CC,Compound::DB00349
Compound::DB00683,RESEMBLES_CC,Compound::DB00186
Compound::DB00687,RESEMBLES_CC,Compound::DB08970
Compound::DB00229,RESEMBLES_CC,Compound::DB01139
Compound::DB00902,RESEMBLES_CC,Compound::DB00623
Compound::DB00680,RESEMBLES_CC,Compound::DB00477
Compound::DB01234,RESEMBLES_CC,Compound::DB01013
Compound::DB00812,RESEMBLES_CC,Compound::DB01320
Compound::DB00333,RESEMBLES_CC,Compound::DB00950
Compound::DB08970,RESEMBLES_CC,Compound::DB00860
Compound::DB00429,RESEMBLES_CC,Compound::DB00917
Compound::DB00671,RESEMBLES_CC,Compound::DB01332
Compound::DB00813,RESEMBLES_CC,Compound::DB00899
Compound::DB01021,RESEMBLES_CC,Compound::DB00562
Compound::DB00850,RESEMBLES_CC,Compound::DB08796
Compound::DB08954,RESEMBLES_CC,Compound::DB01146
Compound::DB00748,RESEMBLES_CC,Compound::DB04837
Compound::DB01419,RESEMBLES_CC,Compound::DB08827
Compound::DB00443,RESEMBLES_CC,Compound::DB00959
Compound::DB01291,RESEMBLES_CC,Compound::DB01203
Compound::DB00842,RESEMBLES_CC,Compound::DB00349
Compound::DB00289,RESEMBLES_CC,Compound::DB00366
Compound::DB00324,RESEMBLES_CC,Compound::DB00603
Compound::DB08906,RESEMBLES_CC,Compound::DB00663
Compound::DB00784,RESEMBLES_CC,Compound::DB04552
Compound::DB00999,RESEMBLES_CC,Compound::DB01021
Compound::DB00231,RESEMBLES_CC,Compound::DB01545
Compound::DB00759,RESEMBLES_CC,Compound::DB00560
Compound::DB01489,RESEMBLES_CC,Compound::DB00404
Compound::DB00872,RESEMBLES_CC,Compound::DB01076
Compound::DB00754,RESEMBLES_CC,Compound::DB00794
Compound::DB01550,RESEMBLES_CC,Compound::DB01191
Compound::DB08795,RESEMBLES_CC,Compound::DB00948
Compound::DB00871,RESEMBLES_CC,Compound::DB01001
Compound::DB08936,RESEMBLES_CC,Compound::DB04890
Compound::DB00393,RESEMBLES_CC,Compound::DB00270
Compound::DB00489,RESEMBLES_CC,Compound::DB00187
Compound::DB08970,RESEMBLES_CC,Compound::DB01047
Compound::DB05245,RESEMBLES_CC,Compound::DB01015
Compound::DB00219,RESEMBLES_CC,Compound::DB00473
Compound::DB00125,RESEMBLES_CC,Compound::DB00123
Compound::DB00978,RESEMBLES_CC,Compound::DB01208
Compound::DB01501,RESEMBLES_CC,Compound::DB01081
Compound::DB00257,RESEMBLES_CC,Compound::DB00836
Compound::DB00535,RESEMBLES_CC,Compound::DB01332
Compound::DB00850,RESEMBLES_CC,Compound::DB01149
Compound::DB00994,RESEMBLES_CC,Compound::DB00479
Compound::DB00240,RESEMBLES_CC,Compound::DB01260
Compound::DB08990,RESEMBLES_CC,Compound::DB01231
Compound::DB06148,RESEMBLES_CC,Compound::DB00433
Compound::DB01604,RESEMBLES_CC,Compound::DB00948
Compound::DB01420,RESEMBLES_CC,Compound::DB00957
Compound::DB00850,RESEMBLES_CC,Compound::DB01239
Compound::DB01061,RESEMBLES_CC,Compound::DB01060
Compound::DB00726,RESEMBLES_CC,Compound::DB01142
Compound::DB01620,RESEMBLES_CC,Compound::DB08800
Compound::DB00571,RESEMBLES_CC,Compound::DB00264
Compound::DB00977,RESEMBLES_CC,Compound::DB04573
Compound::DB00850,RESEMBLES_CC,Compound::DB01063
Compound::DB00676,RESEMBLES_CC,Compound::DB00498
Compound::DB08799,RESEMBLES_CC,Compound::DB00792
Compound::DB00256,RESEMBLES_CC,Compound::DB00618
Compound::DB00393,RESEMBLES_CC,Compound::DB01023
Compound::DB00136,RESEMBLES_CC,Compound::DB01436
Compound::DB00836,RESEMBLES_CC,Compound::DB00354
Compound::DB00634,RESEMBLES_CC,Compound::DB00345
Compound::DB00745,RESEMBLES_CC,Compound::DB08990
Compound::DB01299,RESEMBLES_CC,Compound::DB00634
Compound::DB01415,RESEMBLES_CC,Compound::DB01066
Compound::DB01624,RESEMBLES_CC,Compound::DB00341
Compound::DB01146,RESEMBLES_CC,Compound::DB01075
Compound::DB04575,RESEMBLES_CC,Compound::DB04574
Compound::DB01237,RESEMBLES_CC,Compound::DB01114
Compound::DB06150,RESEMBLES_CC,Compound::DB01015
Compound::DB01621,RESEMBLES_CC,Compound::DB00902
Compound::DB00752,RESEMBLES_CC,Compound::DB00754
Compound::DB00475,RESEMBLES_CC,Compound::DB00363
Compound::DB00572,RESEMBLES_CC,Compound::DB00725
Compound::DB00396,RESEMBLES_CC,Compound::DB00769
Compound::DB00652,RESEMBLES_CC,Compound::DB00504
Compound::DB00540,RESEMBLES_CC,Compound::DB00719
Compound::DB01364,RESEMBLES_CC,Compound::DB00292
Compound::DB01621,RESEMBLES_CC,Compound::DB01224
Compound::DB01246,RESEMBLES_CC,Compound::DB00508
Compound::DB00334,RESEMBLES_CC,Compound::DB00363
Compound::DB00892,RESEMBLES_CC,Compound::DB01233
Compound::DB01577,RESEMBLES_CC,Compound::DB00182
Compound::DB01354,RESEMBLES_CC,Compound::DB01355
Compound::DB09002,RESEMBLES_CC,Compound::DB00645
Compound::DB00753,RESEMBLES_CC,Compound::DB01159
Compound::DB00191,RESEMBLES_CC,Compound::DB00120
Compound::DB01418,RESEMBLES_CC,Compound::DB00946
Compound::DB00813,RESEMBLES_CC,Compound::DB00561
Compound::DB00573,RESEMBLES_CC,Compound::DB00788
Compound::DB00709,RESEMBLES_CC,Compound::DB00879
Compound::DB00813,RESEMBLES_CC,Compound::DB00245
Compound::DB01142,RESEMBLES_CC,Compound::DB01151
Compound::DB00288,RESEMBLES_CC,Compound::DB00860
Compound::DB01327,RESEMBLES_CC,Compound::DB01416
Compound::DB00539,RESEMBLES_CC,Compound::DB00735
Compound::DB00547,RESEMBLES_CC,Compound::DB01013
Compound::DB01626,RESEMBLES_CC,Compound::DB00191
Compound::DB01415,RESEMBLES_CC,Compound::DB00438
Compound::DB00972,RESEMBLES_CC,Compound::DB00408
Compound::DB01623,RESEMBLES_CC,Compound::DB01614
Compound::DB08996,RESEMBLES_CC,Compound::DB09000
Compound::DB04837,RESEMBLES_CC,Compound::DB00458
Compound::DB01550,RESEMBLES_CC,Compound::DB00914
Compound::DB00217,RESEMBLES_CC,Compound::DB00852
Compound::DB01603,RESEMBLES_CC,Compound::DB08795
Compound::DB00390,RESEMBLES_CC,Compound::DB01078
Compound::DB00721,RESEMBLES_CC,Compound::DB00892
Compound::DB00321,RESEMBLES_CC,Compound::DB01237
Compound::DB00396,RESEMBLES_CC,Compound::DB00717
Compound::DB00153,RESEMBLES_CC,Compound::DB02300
Compound::DB01595,RESEMBLES_CC,Compound::DB00712
Compound::DB00829,RESEMBLES_CC,Compound::DB01544
Compound::DB00247,RESEMBLES_CC,Compound::DB01200
Compound::DB00656,RESEMBLES_CC,Compound::DB00557
Compound::DB00153,RESEMBLES_CC,Compound::DB01070
Compound::DB00813,RESEMBLES_CC,Compound::DB00925
Compound::DB01576,RESEMBLES_CC,Compound::DB00600
Compound::DB00940,RESEMBLES_CC,Compound::DB00344
Compound::DB00896,RESEMBLES_CC,Compound::DB00588
Compound::DB01403,RESEMBLES_CC,Compound::DB01242
Compound::DB01321,RESEMBLES_CC,Compound::DB00778
Compound::DB00576,RESEMBLES_CC,Compound::DB06150
Compound::DB01075,RESEMBLES_CC,Compound::DB01616
Compound::DB00477,RESEMBLES_CC,Compound::DB00508
Compound::DB01382,RESEMBLES_CC,Compound::DB01581
Compound::DB01115,RESEMBLES_CC,Compound::DB01054
Compound::DB04837,RESEMBLES_CC,Compound::DB00836
Compound::DB00829,RESEMBLES_CC,Compound::DB01588
Compound::DB00865,RESEMBLES_CC,Compound::DB01227
Compound::DB00689,RESEMBLES_CC,Compound::DB00923
Compound::DB00812,RESEMBLES_CC,Compound::DB00991
Compound::DB00570,RESEMBLES_CC,Compound::DB00361
Compound::DB00177,RESEMBLES_CC,Compound::DB00796
Compound::DB00836,RESEMBLES_CC,Compound::DB00647
Compound::DB00572,RESEMBLES_CC,Compound::DB00979
Compound::DB08976,RESEMBLES_CC,Compound::DB01419
Compound::DB08943,RESEMBLES_CC,Compound::DB01153
Compound::DB00333,RESEMBLES_CC,Compound::DB00836
Compound::DB00741,RESEMBLES_CC,Compound::DB01406
Compound::DB00671,RESEMBLES_CC,Compound::DB01414
Compound::DB00537,RESEMBLES_CC,Compound::DB00487
Compound::DB00151,RESEMBLES_CC,Compound::DB00160
Compound::DB00838,RESEMBLES_CC,Compound::DB00959
Compound::DB01403,RESEMBLES_CC,Compound::DB08996
Compound::DB00376,RESEMBLES_CC,Compound::DB01231
Compound::DB00489,RESEMBLES_CC,Compound::DB00308
Compound::DB00136,RESEMBLES_CC,Compound::DB00153
Compound::DB00669,RESEMBLES_CC,Compound::DB00953
Compound::DB00838,RESEMBLES_CC,Compound::DB00180
Compound::DB00578,RESEMBLES_CC,Compound::DB00485
Compound::DB00894,RESEMBLES_CC,Compound::DB00624
Compound::DB04839,RESEMBLES_CC,Compound::DB00603
Compound::DB01415,RESEMBLES_CC,Compound::DB00456
Compound::DB01069,RESEMBLES_CC,Compound::DB00924
Compound::DB00422,RESEMBLES_CC,Compound::DB00424
Compound::DB00195,RESEMBLES_CC,Compound::DB01580
Compound::DB00223,RESEMBLES_CC,Compound::DB00764
Compound::DB06710,RESEMBLES_CC,Compound::DB00294
Compound::DB00735,RESEMBLES_CC,Compound::DB00476
Compound::DB01234,RESEMBLES_CC,Compound::DB00764
Compound::DB00950,RESEMBLES_CC,Compound::DB01231
Compound::DB00877,RESEMBLES_CC,Compound::DB00864
Compound::DB00726,RESEMBLES_CC,Compound::DB08802
Compound::DB00676,RESEMBLES_CC,Compound::DB01009
Compound::DB01036,RESEMBLES_CC,Compound::DB01237
Compound::DB00942,RESEMBLES_CC,Compound::DB00986
Compound::DB00288,RESEMBLES_CC,Compound::DB00591
Compound::DB00780,RESEMBLES_CC,Compound::DB00191
Compound::DB01399,RESEMBLES_CC,Compound::DB00861
Compound::DB00477,RESEMBLES_CC,Compound::DB00349
Compound::DB01151,RESEMBLES_CC,Compound::DB00458
Compound::DB00752,RESEMBLES_CC,Compound::DB01579
Compound::DB00573,RESEMBLES_CC,Compound::DB01173
Compound::DB01231,RESEMBLES_CC,Compound::DB01176
Compound::DB00896,RESEMBLES_CC,Compound::DB00846
Compound::DB06718,RESEMBLES_CC,Compound::DB01406
Compound::DB01130,RESEMBLES_CC,Compound::DB01222
Compound::DB01550,RESEMBLES_CC,Compound::DB00865
Compound::DB01252,RESEMBLES_CC,Compound::DB01232
Compound::DB00465,RESEMBLES_CC,Compound::DB00500
Compound::DB00220,RESEMBLES_CC,Compound::DB00224
Compound::DB00288,RESEMBLES_CC,Compound::DB01260
Compound::DB00535,RESEMBLES_CC,Compound::DB01415
Compound::DB00856,RESEMBLES_CC,Compound::DB00195
Compound::DB00784,RESEMBLES_CC,Compound::DB08984
Compound::DB04843,RESEMBLES_CC,Compound::DB00950
Compound::DB08998,RESEMBLES_CC,Compound::DB00525
Compound::DB04574,RESEMBLES_CC,Compound::DB04573
Compound::DB00151,RESEMBLES_CC,Compound::DB00145
Compound::DB01428,RESEMBLES_CC,Compound::DB00600
Compound::DB00190,RESEMBLES_CC,Compound::DB00668
Compound::DB00394,RESEMBLES_CC,Compound::DB06781
Compound::DB01603,RESEMBLES_CC,Compound::DB01147
Compound::DB00578,RESEMBLES_CC,Compound::DB00607
Compound::DB00229,RESEMBLES_CC,Compound::DB00430
Compound::DB01047,RESEMBLES_CC,Compound::DB00324
Compound::DB01619,RESEMBLES_CC,Compound::DB00719
Compound::DB00717,RESEMBLES_CC,Compound::DB00367
Compound::DB01112,RESEMBLES_CC,Compound::DB00438
Compound::DB01239,RESEMBLES_CC,Compound::DB08800
Compound::DB01326,RESEMBLES_CC,Compound::DB08795
Compound::DB00576,RESEMBLES_CC,Compound::DB08798
Compound::DB00867,RESEMBLES_CC,Compound::DB08941
Compound::DB00586,RESEMBLES_CC,Compound::DB01283
Compound::DB00968,RESEMBLES_CC,Compound::DB00244
Compound::DB00719,RESEMBLES_CC,Compound::DB00434
Compound::DB00632,RESEMBLES_CC,Compound::DB06689
Compound::DB00571,RESEMBLES_CC,Compound::DB00289
Compound::DB00155,RESEMBLES_CC,Compound::DB00143
Compound::DB01075,RESEMBLES_CC,Compound::DB00924
Compound::DB00539,RESEMBLES_CC,Compound::DB00925
Compound::DB01420,RESEMBLES_CC,Compound::DB08866
Compound::DB01092,RESEMBLES_CC,Compound::DB01396
Compound::DB08970,RESEMBLES_CC,Compound::DB00620
Compound::DB01047,RESEMBLES_CC,Compound::DB01222
Compound::DB01246,RESEMBLES_CC,Compound::DB00776
Compound::DB06148,RESEMBLES_CC,Compound::DB01176
Compound::DB01081,RESEMBLES_CC,Compound::DB01138
Compound::DB08996,RESEMBLES_CC,Compound::DB01142
Compound::DB01023,RESEMBLES_CC,Compound::DB00528
