from,to,line,km
4·19민주묘지,가오리,우이신설선,0.85
4·19민주묘지,솔밭공원,우이신설선,0.73
가능,녹양,1호선,1.22
가능,의정부,1호선,1.23
가락시장,경찰병원,3호선,0.64
가락시장,문정,8호선,0.83
가락시장,송파,8호선,0.95
가락시장,수서,3호선,1.49
가산디지털단지,구로,1호선,2.33
가산디지털단지,남구로,7호선,0.52
가산디지털단지,독산,1호선,1.83
가산디지털단지,철산,7호선,1.45
가양,양천향교,9호선,1.47
가양,증미,9호선,0.73
가오리,화계,우이신설선,0.89
가재울,인천가좌,인천2호선,1.06
가재울,주안국가산단,인천2호선,1.19
가정,가정중앙시장,인천2호선,0.79
가정,서해구청,인천2호선,2.14
가정중앙시장,석남,인천2호선,1.19
가좌,디지털미디어시티,경의·중앙선,1.71
가좌,신촌,경의·중앙선,2.52
가좌,홍대입구,경의·중앙선,1.58
가천대,복정,수인·분당선,2.55
가천대,태평,수인·분당선,1.00
가평,굴봉산,경춘선,4.51
가평,상천,경춘선,6.99
간석,동암,1호선,1.10
간석,주안,1호선,1.20
간석오거리,부평삼거리,인천1호선,1.19
간석오거리,인천시청,인천1호선,1.26
갈매,별내,경춘선,1.46
갈매,신내,경춘선,2.58
갈산,부평구청,인천1호선,1.03
갈산,작전,인천1호선,1.52
강남,교대,2호선,1.34
강남,신논현,신분당선,0.78
강남,양재,신분당선,1.60
강남,역삼,2호선,0.88
강남구청,선정릉,수인·분당선,0.71
강남구청,압구정로데오,수인·분당선,1.23
강남구청,청담,7호선,0.80
강남구청,학동,7호선,0.99
강남대,기흥,에버라인,1.06
강남대,지석,에버라인,0.93
강동,길동,5호선,0.72
강동,둔촌동,5호선,0.95
강동,천호,5호선,0.87
강동구청,몽촌토성,8호선,1.62
강동구청,천호,8호선,0.85
강매,한국항공대,경의·중앙선,2.29
강매,행신,경의·중앙선,0.89
강변,구의,2호선,0.94
강변,잠실나루,2호선,1.79
강일,미사,5호선,1.59
강일,상일동,5호선,0.98
강촌,김유정,경춘선,7.19
강촌,백양리,경춘선,4.83
개롱,거여,5호선,0.95
개롱,오금,5호선,0.73
개봉,구일,1호선,0.96
개봉,오류동,1호선,1.30
개포동,구룡,수인·분당선,0.63
개포동,대모산입구,수인·분당선,0.64
개화,김포공항,9호선,1.88
개화산,김포공항,5호선,1.34
개화산,방화,5호선,0.65
거여,마천,5호선,0.81
건대입구,구의,2호선,1.55
건대입구,성수,2호선,1.24
건대입구,어린이대공원,7호선,0.94
건대입구,자양,7호선,1.11
걸포북변,사우,김포골드라인,1.75
걸포북변,운양,김포골드라인,3.14
검단사거리,마전,인천2호선,1.03
검단사거리,왕길,인천2호선,1.46
검단오류,왕길,인천2호선,1.28
검단호수공원,신검단중앙,인천1호선,0.88
검바위,검암,인천2호선,0.98
검바위,아시아드경기장,인천2호선,1.10
검암,계양,공항철도,5.53
검암,독정,인천2호선,1.74
검암,청라국제도시,공항철도,4.54
경기광주,삼동,경강선,4.54
경기광주,초월,경강선,5.06
경기도청북부청사,새말,의정부경전철,0.72
경기도청북부청사,효자,의정부경전철,0.61
경마공원,대공원,4호선,0.98
경마공원,선바위,4호선,0.88
경복궁,독립문,3호선,1.39
경복궁,안국,3호선,1.12
경인교대입구,계산,인천1호선,0.73
경인교대입구,작전,인천1호선,0.90
경전철의정부,범골,의정부경전철,0.95
경전철의정부,의정부시청,의정부경전철,0.77
경찰병원,오금,3호선,0.86
계산,임학,인천1호선,0.97
계양,귤현,인천1호선,0.86
계양,김포공항,공항철도,5.85
계양,아라,인천1호선,3.04
고덕,명일,5호선,0.92
고덕,상일동,5호선,1.01
고려대,안암,6호선,0.70
고려대,월곡,6호선,1.44
고색,수원,수인·분당선,2.63
고색,오목천,수인·분당선,1.67
고속터미널,교대,3호선,1.56
고속터미널,내방,7호선,2.28
고속터미널,반포,7호선,0.69
고속터미널,사평,9호선,0.93
고속터미널,신반포,9호선,0.77
고속터미널,잠원,3호선,1.02
고잔,중앙,4호선,1.36
고잔,중앙,수인·분당선,1.36
고잔,초지,4호선,1.59
고잔,초지,수인·분당선,1.59
고진,보평,에버라인,1.64
고진,용인중앙시장,에버라인,0.87
고촌,김포공항,김포골드라인,5.18
고촌,풍무,김포골드라인,3.55
곡산,대곡,경의·중앙선,1.77
곡산,대곡,서해선,1.77
곡산,백마,경의·중앙선,1.37
곡산,백마,서해선,1.37
곤제,어룡,의정부경전철,0.88
곤제,효자,의정부경전철,0.70
곤지암,신둔도예촌,경강선,6.50
곤지암,초월,경강선,4.77
공덕,대흥,6호선,1.05
공덕,마포,5호선,0.64
공덕,서강대,경의·중앙선,1.97
공덕,서울역,공항철도,2.11
공덕,애오개,5호선,1.29
공덕,홍대입구,공항철도,2.99
