from_iata,to_iata,km,hours,airlines
ABD,MHD,1244,2.55,2
ABD,SYZ,430,1.54,1
ABD,THR,657,1.82,3
ABS,ASW,216,1.27,1
ABT,DMM,1079,2.35,1
ABT,JED,300,1.38,1
ABT,RUH,734,1.92,1
ACZ,MHD,598,1.75,1
ADA,ADB,730,1.91,2
ADA,AYT,398,1.5,2
ADA,ESB,402,1.5,1
ADA,ISL,714,1.89,3
ADA,JED,1742,3.18,1
ADA,SAW,675,1.84,2
ADA,TZX,592,1.74,1
ADA,VAN,727,1.91,1
ADB,ADA,730,1.91,2
ADB,ASR,727,1.91,2
ADB,AYT,356,1.45,2
ADB,DIY,1141,2.43,2
ADB,ESB,543,1.68,2
ADB,EZS,1057,2.32,1
ADB,GNY,1034,2.29,1
ADB,GZT,921,2.15,2
ADB,HTY,834,2.04,1
ADB,ISL,331,1.41,4
ADB,MQM,1189,2.49,1
ADB,SAW,343,1.43,3
ADB,TZX,1121,2.4,2
ADB,VAS,858,2.07,1
ADF,ESB,543,1.68,1
ADF,ISL,904,2.13,1
ADU,MHD,1019,2.27,1
ADU,THR,390,1.49,2
AFZ,THR,568,1.71,1
AHB,CAI,1743,3.18,3
AHB,DMM,1173,2.47,1
AHB,DXB,1525,2.91,1
AHB,JED,529,1.66,2
AHB,MED,766,1.96,1
AHB,RUH,856,2.07,2
AHB,SHJ,1543,2.93,1
AHB,TIF,423,1.53,1
AHB,TUU,1283,2.6,1
AJF,JED,906,2.13,1
AJF,RUH,844,2.05,1
AJI,ESB,857,2.07,1
AJI,ISL,1212,2.51,1
AMM,AQJ,253,1.32,1
AMM,AUH,1998,3.5,3
AMM,BAH,1546,2.93,2
AMM,CAI,472,1.59,3
AMM,DMM,1461,2.83,1
AMM,DOH,1684,3.1,2
AMM,DWC,2020,3.52,1
AMM,DXB,2022,3.53,4
AMM,HBE,605,1.76,1
AMM,ISL,1212,2.51,2
AMM,JED,1160,2.45,4
AMM,KWI,1180,2.48,3
AMM,MCT,2368,3.96,2
AMM,MED,876,2.09,3
AMM,RUH,1289,2.61,3
