iata,name,city,country,lat,lon
AGR,Agra Airport,Agra,India,27.1558,77.9609
AGX,Agatti Airport,Agatti Island,India,10.8237,72.176
AJL,Lengpui Airport,Aizwal,India,23.8406,92.6197
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,23.0772,72.6347
ATQ,Sri Guru Ram Dass Jee International Airport,Amritsar,India,31.7096,74.7973
BBI,Biju Patnaik Airport,Bhubaneswar,India,20.2444,85.8178
BDP,Bhadrapur Airport,Chandragarhi,Nepal,26.5708,88.0796
BDQ,Vadodara Airport,Baroda,India,22.3362,73.2263
BHJ,Bhuj Airport,Bhuj,India,23.2878,69.6702
BHO,Raja Bhoj International Airport,Bhopal,India,23.2875,77.3374
BHR,Bharatpur Airport,Bharatpur,Nepal,27.6781,84.4294
BHU,Bhavnagar Airport,Bhaunagar,India,21.7522,72.1852
BHV,Bahawalpur Airport,Bahawalpur,Pakistan,29.3481,71.718
BIR,Biratnagar Airport,Biratnagar,Nepal,26.4815,87.264
BLR,Kempegowda International Airport,Bangalore,India,13.1979,77.7063
BOM,Chhatrapati Shivaji International Airport,Mumbai,India,19.0887,72.8679
BWA,Gautam Buddha Airport,Bhairawa,Nepal,27.5057,83.4163
BZL,Barisal Airport,Barisal,Bangladesh,22.801,90.3012
CCJ,Calicut International Airport,Calicut,India,11.1368,75.9553
CCU,Netaji Subhash Chandra Bose International Airport,Kolkata,India,22.6547,88.4467
CGP,Shah Amanat International Airport,Chittagong,Bangladesh,22.2496,91.8133
CJB,Coimbatore International Airport,Coimbatore,India,11.03,77.0434
CJL,Chitral Airport,Chitral,Pakistan,35.8866,71.8006
CMB,Bandaranaike International Colombo Airport,Colombo,Sri Lanka,7.1808,79.8841
COK,Cochin International Airport,Kochi,India,10.152,76.4019
CXB,Cox's Bazar Airport,Cox's Bazar,Bangladesh,21.4522,91.9639
DAC,Hazrat Shahjalal International Airport,Dhaka,Bangladesh,23.8433,90.3978
DBA,Dalbandin Airport,Dalbandin,Pakistan,28.8783,64.3998
DEA,Dera Ghazi Khan Airport,Dera Ghazi Khan,Pakistan,29.961,70.4859
DED,Dehradun Airport,Dehra Dun,India,30.1897,78.1803
DEL,Indira Gandhi International Airport,Delhi,India,28.5665,77.1031
DHI,Dhangarhi Airport,Dhangarhi,Nepal,28.7533,80.5819
DHM,Kangra Airport,Kangra,India,32.1651,76.2634
DIB,Dibrugarh Airport,Mohanbari,India,27.4839,95.0169
DIU,Diu Airport,Diu,India,20.7131,70.9211
DMU,Dimapur Airport,Dimapur,India,25.8839,93.7711
DSK,Dera Ismael Khan Airport,Dera Ismael Khan,Pakistan,31.9094,70.8966
GAU,Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,26.1061,91.5859
GIU,Sigiriya Air Force Base,Sigiriya,Sri Lanka,7.9567,80.7285
GOI,Dabolim Airport,Goa,India,15.3808,73.8314
GOP,Gorakhpur Airport,Gorakhpur,India,26.7397,83.4497
GWD,Gwadar International Airport,Gwadar,Pakistan,25.2333,62.3295
GWL,Gwalior Airport,Gwalior,India,26.2933,78.2278
HBX,Hubli Airport,Hubli,India,15.3617,75.0849
HJR,Khajuraho Airport,Khajuraho,India,24.8172,79.9186
HRI,Mattala Rajapaksa International Airport,Mattala,Sri Lanka,6.2845,81.1241
IDR,Devi Ahilyabai Holkar Airport,Indore,India,22.7218,75.8011
IMF,Imphal Airport,Imphal,India,24.76,93.8967
IXA,Agartala Airport,Agartala,India,23.887,91.2404
IXB,Bagdogra Airport,Baghdogra,India,26.6812,88.3286
IXC,Chandigarh Airport,Chandigarh,India,30.6735,76.7885
IXD,Allahabad Airport,Allahabad,India,25.4401,81.7339
IXE,Mangalore International Airport,Mangalore,India,12.9613,74.8901
IXG,Belgaum Airport,Belgaum,India,15.8593,74.6183
IXJ,Jammu Airport,Jammu,India,32.6891,74.8374
IXL,Leh Kushok Bakula Rimpochee Airport,Leh,India,34.1359,77.5465
IXM,Madurai Airport,Madurai,India,9.8345,78.0934
IXR,Birsa Munda Airport,Ranchi,India,23.3143,85.3217
