employee_id,dept
10,9
15,17
20,9
21,9
22,9
45,17
46,17
47,10
48,10
52,7
60,7
61,7
72,9
75,10
76,10
92,9
103,7
104,7
113,10
114,10
119,10
122,0
130,0
139,17
140,17
148,0
149,0
150,7
151,10
156,0
157,0
164,17
171,10
178,0
179,0
180,0
181,7
182,7
191,0
214,0
216,17
229,10
231,0
245,10
250,7
257,0
259,9
260,9
261,10
262,0
263,10
269,17
272,17
273,17
274,17
277,0
278,0
284,0
289,0
295,7
296,7
306,9
318,10
320,7
321,7
322,17
325,9
326,9
327,9
333,10
334,17
335,17
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
361,10
367,10
368,7
370,10
376,7
377,7
378,7
379,7
380,7
381,7
382,7
383,7
384,7
385,7
386,7
387,7
388,7
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,7
397,7
398,7
400,9
402,0
416,9
417,10
423,10
428,17
429,17
442,10
443,10
444,10
446,17
447,17
448,17
461,17
485,10
511,0
524,9
527,10
535,9
538,9
547,10
575,0
579,17
592,17
617,17
621,0
628,7
632,7
656,0
657,17
668,0
676,17
680,0
681,0
682,0
692,0
719,7
723,9
725,10
733,9
735,17
741,7
753,10
757,10
760,17
761,7
777,9
781,0
794,17
795,10
814,0
819,17
824,0
825,9
838,17
839,0
841,7
847,10
851,0
857,0
858,9
868,7
869,7
871,0
885,9
887,9
894,9
895,10
897,10
903,0
907,0
919,10
923,9
925,10
929,17
933,17
943,7
945,9
947,7
962,9
976,10
981,10
983,10
985,7
